
2026-01-18 22:31:10 | NEW | HKCU_Run | testentry | C:\test.exe
2026-01-29 18:24:15 | DELETED | HKLM_Defender | TestDefenderChange | 
2026-01-29 18:25:15 | DELETED | HKLM_Defender | TestDefenderChange | 
2026-01-29 18:26:15 | DELETED | HKLM_Defender | TestDefenderChange | 
2026-01-29 18:27:15 | DELETED | HKLM_Defender | TestDefenderChange | 
2026-01-29 18:28:15 | DELETED | HKLM_Defender | TestDefenderChange | 
2026-01-29 18:29:15 | DELETED | HKLM_Defender | TestDefenderChange | 
2026-01-29 18:30:15 | DELETED | HKLM_Defender | TestDefenderChange | 
2026-01-29 18:31:15 | DELETED | HKLM_Defender | TestDefenderChange | 
2026-01-29 18:32:15 | DELETED | HKLM_Defender | TestDefenderChange | 
2026-01-29 18:33:15 | DELETED | HKLM_Defender | TestDefenderChange | 
2026-01-29 18:34:15 | DELETED | HKLM_Defender | TestDefenderChange | 
2026-01-29 18:35:15 | DELETED | HKLM_Defender | TestDefenderChange | 
2026-01-29 18:36:15 | DELETED | HKLM_Defender | TestDefenderChange | 
2026-01-29 18:37:15 | DELETED | HKLM_Defender | TestDefenderChange | 
2026-01-29 18:38:15 | DELETED | HKLM_Defender | TestDefenderChange | 
2026-01-29 18:39:15 | DELETED | HKLM_Defender | TestDefenderChange | 
2026-01-29 18:40:35 | NEW | HKLM_Defender | tester | 1
2026-01-29 20:31:58 | DELETED | HKCU_RunOnce | TestRunOnce | 
2026-01-29 20:35:22 | DELETED | HKCU_RunOnce | TestRunOnce | 
2026-01-29 20:35:22 | NEW | HKLM_Defender | DisableRealtimeMonitoring | 1
2026-01-29 20:37:36 | DELETED | HKCU_RunOnce | TestRunOnce | 
2026-01-29 20:37:36 | NEW | HKLM_Defender | DisableRealtimeMonitoring | 1
